,发车时间,1. 航天桥西,2. 航天桥北,3. 花园桥北,4. 紫竹桥,5. 万寿寺,6. 为公桥,7. 苏州桥南,8. 三义庙,9. 四通桥西,10. 四通桥东,11. 大钟寺,12. 地铁大钟寺站,13. 蓟门桥西,14. 北太平桥西,15. 马甸桥东,16. 安华桥西,17. 安贞桥西,18. 安贞桥东,19. 和平西桥,20. 和平东桥,21. 太阳宫桥,22. 西坝河,23. 静安庄东,24. 三元桥南,25. 亮马桥,26. 白家庄,27. 呼家楼南,28. 大北窑北,29. 大北窑南,30. 双井桥北,31. 双井桥南,32. 潘家园桥北,33. 十里河桥北,34. 十里河桥南,35. 方庄桥东,36. 方庄桥西,37. 刘家窑桥,38. 木樨园桥东,39. 木樨园桥西,40. 洋桥西,41. 草桥,42. 玉泉营桥西,43. 夏家胡同,44. 丽泽桥,45. 西局,46. 六里桥南,47. 六里桥北里,48. 公主坟南,49. 玉渊潭西门,50. 航天桥南,51. 航天桥西
11,17:32:30,,,9.96,,5.89,6.12,3.86,5.76,,1.95,4.02,4.52,,12.16,10.08,5.94,4.45,7.56,3.43,1.87,4.09,6.11,4.68,5.7,8.89,2.0,0.5,7.43,1.95,3.68,5.42,9.16,10.38,1.07,10.28,6.96,13.44,10.62,11.53,9.49,12.76,12.04,15.09,13.21,12.38,10.03,12.26,11.27,12.34,4.1,
12,21:03:41,,,,13.14,8.94,5.72,3.71,6.44,,1.34,5.41,5.0,,12.74,11.26,8.08,9.07,8.43,2.53,2.5,4.19,10.18,5.59,7.93,12.4,6.17,3.0,2.48,3.81,3.75,4.99,11.11,12.95,1.48,13.22,8.04,12.87,10.67,11.17,14.41,15.13,11.72,11.11,12.65,8.8,11.93,14.07,12.78,9.74,3.16,0.91
13,05:22:36,,,9.24,13.43,8.04,4.97,3.49,8.7,,1.44,10.82,3.82,,11.14,12.57,,12.78,,4.79,,5.99,,3.8,6.91,11.85,11.67,2.22,3.02,4.67,6.48,2.69,12.75,10.61,,10.47,9.08,13.41,10.49,12.39,,12.33,11.61,9.6,12.6,8.04,10.48,4.32,7.01,7.54,2.79,
14,08:02:30,,,9.48,7.3,7.87,4.36,2.77,5.05,,0.96,6.49,6.75,,13.04,4.84,6.22,3.28,7.49,2.86,,3.22,6.44,4.48,3.4,3.96,11.88,2.08,2.54,1.86,7.1,7.61,11.64,11.81,7.94,11.52,9.54,9.93,10.38,10.47,9.64,12.5,10.57,11.33,8.43,11.84,8.48,5.11,3.23,4.64,4.04,1.68
15,14:29:24,,,10.0,11.05,,13.16,5.11,5.17,,5.56,8.55,7.5,,10.62,10.42,,9.59,9.66,3.28,2.8,5.99,5.79,6.55,5.82,5.79,5.7,1.96,2.26,1.79,3.81,,9.97,8.72,3.27,11.1,7.83,10.06,10.0,10.06,10.12,14.4,11.42,14.4,8.98,8.28,13.04,11.86,8.63,10.74,3.23,1.28
16,17:44:01,,,9.07,11.45,5.48,4.45,4.68,7.09,,1.78,7.13,3.62,,11.14,11.96,6.05,5.19,7.27,3.9,,4.19,8.92,3.58,8.09,4.34,1.63,1.06,5.33,1.55,4.44,1.92,8.79,12.76,1.82,12.57,,13.16,12.66,13.42,10.7,13.21,11.99,11.53,13.61,9.32,12.27,13.98,10.21,12.34,2.26,4.27
17,21:18:14,,,8.9,,,12.37,3.8,6.64,,1.44,6.96,2.01,,12.59,12.68,9.34,13.52,5.82,3.28,2.5,4.28,6.79,2.98,6.92,11.79,11.4,2.62,3.18,3.63,4.54,3.13,9.7,10.38,1.92,12.96,,10.96,12.38,12.26,,14.6,12.92,13.58,13.43,13.76,,15.35,13.4,12.26,4.16,0.83
18,07:56:30,,,7.46,4.88,7.09,5.49,5.01,5.15,,1.68,4.12,7.5,,11.43,4.32,5.39,8.14,5.38,2.17,2.8,2.63,7.6,4.32,3.26,3.77,11.77,2.06,6.53,3.26,7.02,5.13,8.55,9.15,1.73,12.0,11.26,8.21,10.67,10.23,8.99,12.51,9.95,9.79,9.1,8.04,11.73,4.66,3.09,4.39,4.16,2.36
19,10:55:44,,,6.29,11.45,9.12,4.31,9.89,8.24,,7.8,7.7,5.53,,11.87,10.62,,,,5.29,,4.09,4.96,2.55,5.62,6.81,7.78,1.81,2.32,2.83,3.72,6.27,12.75,7.54,4.09,11.97,12.02,13.95,13.11,11.93,9.44,13.37,11.62,14.12,13.39,7.78,10.24,9.71,8.04,11.44,2.7,
20,14:16:21,,,9.73,10.53,9.52,10.55,4.69,6.44,,3.52,6.51,3.37,,12.03,11.92,5.94,12.78,8.79,5.0,,6.28,6.13,3.15,4.86,4.37,5.39,1.94,5.91,1.46,6.67,6.84,8.2,6.86,7.66,10.37,9.32,13.79,12.53,12.94,12.44,12.68,12.45,14.4,10.75,8.8,9.52,9.96,10.12,10.76,2.6,
